ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
7589,Female,4,1,88.27,3.51
7590,Female,4,2,71,3.18
7591,Male,4,3,92.18,2.73
7592,Male,4,2,98.36,3.62
7593,Female,4,4,89,3.8
7594,Female,4,2,83.73,3.38
7595,Male,4,1,75.18,3.23
7596,Female,4,1,76.9,2.91
7597,Male,4,1,69,2.8
7598,Female,5,1,99.82,3.98
7599,Male,4,1,59.37,2.49
7600,Male,4,3,50.55,3.28
7601,Female,4,2,74.73,3.68
7602,Male,4,2,55,1.77
7603,Female,5,2,99,2.67
7604,Female,4,2,98.09,3.38
7605,Male,5,4,59.9,2.18
7606,Female,4,1,86.09,3.46
7607,Male,4,4,82.09,3.49
7608,Female,4,2,92.73,3.84
7609,Female,4,2,97.45,3.81
7610,Female,4,2,96.54,3.98
7611,Female,4,1,74.7,3.86
7612,Female,5,2,99.6,1.47
7613,Female,4,2,89.63,3.67
7614,Male,4,2,84,3.21
7615,Female,4,2,94,3.5
7616,Female,4,3,82.1,3.53
7617,Male,4,1,89.54,3.42
7618,Male,4,3,86.9,3.27
7619,Female,4,1,92.82,3.32
7620,Male,4,2,77.45,3.1
7621,Female,4,4,78.72,3.2
7622,Female,4,3,81.2,2.9
7623,Female,4,3,79.54,3.49
7624,Female,4,1,84,3.4
7625,Female,4,1,93.18,3.2
7626,Male,5,3,92.45,3.01
7627,Female,4,1,79,3.86
7628,Male,4,1,94.72,3.79
7629,Female,4,1,88,3.55
7630,Male,5,1,94.77,3.77
7631,Female,4,1,91,3.4
7632,Female,5,4,87.1,2.39
7633,Female,4,1,85.09,3.68
7634,Male,4,2,91,3.72
7635,Male,4,1,81.72,3.31
7636,Female,4,1,80.27,3.26
7637,Female,4,4,87.09,3.85
7638,Female,4,1,70.27,3.6
7639,Male,4,2,82,2.95
7640,Female,4,3,89.9,3.22
7641,Male,4,2,86,3.32
7642,Female,4,2,74.9,2.59
7643,Male,4,1,86.5,3.49
7644,Female,4,3,81.64,3.22
7645,Female,4,2,77,3.59
7646,Female,4,3,80.72,2.9
7647,Male,4,1,52,2.4
7648,Male,5,1,97.18,3.89
7649,Male,4,1,78.28,3.8
7650,Male,5,1,83.82,3.39
7651,Female,4,1,68.27,3.22
7652,Male,5,3,94.81,2.98
7653,Male,4,1,82.54,2.13
7654,Female,4,3,87.27,3.37
7655,Female,4,4,83.36,3.47
7656,Female,4,1,91.54,3.6
7657,Female,4,1,84.81,3.94
7658,Female,4,3,68,2.9
7659,Male,4,4,74.72,3.1
7660,Female,4,3,91,3.58
7661,Male,4,1,72.81,3.45
7662,Male,5,3,92.63,2.52
7663,Male,4,1,77.18,3.63
7664,Female,4,2,77.7,3.39
7665,Female,4,2,89.96,3.64
7666,Female,4,4,78.54,2.72
7667,Female,4,2,93.82,3.84
7668,Female,4,2,93.09,2.92
7669,Male,4,1,82.72,3.35
7670,Female,4,2,87.27,3.19
7671,Female,4,4,74.27,3.38
7672,Male,4,1,90.8,3.6
7673,Female,4,1,76.09,3.96
7674,Female,4,3,66.81,3.47
7675,Male,5,2,95.54,2.91
7676,Female,4,3,86.81,3.55
7677,Female,4,1,71.8,2.92
7678,Male,4,1,88.91,3.58
7679,Male,5,1,90,3.62
7680,Female,4,2,76.91,3.77
7681,Male,4,1,76.54,3.2
7682,Female,4,4,81,3.68
7683,Female,4,2,91.18,3.46
7684,Female,5,2,99.81,2.14
7685,Male,4,1,88.18,1.97
7686,Male,4,4,74.48,3.05
7687,Female,4,1,84,2.81
7688,Male,5,5,89,3.59
7689,Male,4,2,94.18,3.06
7690,Female,4,4,70,3.4
7691,Male,4,1,89.63,3.51
7692,Female,4,4,81.96,3.42
7693,Female,4,1,95.72,3.83
7694,Male,4,2,85.36,3.16
7695,Male,5,4,88.87,2.26
7696,Female,4,2,73,3.43
7697,Female,4,4,75,3.08
7698,Female,4,1,74.6,3.05
7699,Female,4,1,72.6,2.98
7700,Female,4,2,79.5,2.91
7701,Female,4,2,99,3.93
7702,Female,4,3,68.54,3.8
7703,Male,4,4,90,3.59
7704,Female,4,3,75.82,3.16
7705,Female,4,3,85.09,3.52
7706,Female,4,1,96.09,3.78
7707,Female,4,1,93.63,3.36
7708,Male,4,1,75,2.92
7709,Male,5,4,80.72,2.41
7710,Female,4,1,62.36,2.64
7711,Female,4,1,58.54,3.6
7712,Female,4,2,95,3.44
7713,Male,5,4,81.1,2.35
7714,Female,4,1,94.73,3.74
7715,Female,4,2,99,3.6
7716,Female,4,4,71.91,3.46
7717,Male,5,3,93.45,2.9
7718,Female,4,3,90.91,2.78
7719,Male,5,4,90.81,2.65
7720,Female,4,3,93.36,3.5
7721,Female,4,1,65.2,3.06
7722,Male,4,4,87.78,2.09
7723,Female,4,3,84.45,3.16
7724,Female,4,1,68.09,2.81
7725,Male,4,3,84.9,3
7726,Female,4,2,93.54,3.75
7727,Female,4,2,81,3.65
7728,Male,4,2,60,3.22
7729,Female,4,1,83.8,3.4
7730,Male,5,1,94.36,3.78
7731,Male,4,1,84,3.4
7732,Male,4,3,82.6,2.92
7733,Female,4,1,89.89,3.95
7734,Female,4,4,83.27,3.03
7735,Female,4,3,74.77,3.16
7736,Male,4,2,75,2.01
7737,Male,4,3,82.36,3.6
7738,Male,4,2,93.09,3.6
7739,Female,4,2,99.45,3.4
7740,Male,4,1,67.68,3.63
7741,Male,4,1,89.81,3.09
7742,Male,4,3,68.54,2.45
7743,Female,4,1,80.27,3.26
7744,Female,5,2,78,3.09
7745,Male,5,2,99.82,1.54
7746,Male,4,1,72.18,2.96
7747,Male,5,2,93.36,2.88
7748,Female,4,4,87.81,3.66
7749,Male,4,1,60.27,2.52
7750,Male,4,2,85.36,3.94
7751,Male,4,2,89.27,2.84
7752,Female,4,1,85.45,3.45
7753,Female,4,3,76.81,2.61
7754,Male,5,1,93.64,3.75
7755,Female,4,3,78,3.72
7756,Male,5,3,92,2.85
7757,Female,4,3,70,3.38
7758,Female,4,2,97.36,3.74
7759,Female,4,4,57,3.23
7760,Female,4,3,79.7,3.48
7761,Male,4,1,95.54,2.22
7762,Male,4,1,81.54,3.31
7763,Male,4,2,74.81,3.32
7764,Female,4,3,77,3.77
7765,Male,4,3,88.45,3.68
7766,Male,4,1,61,3.3
7767,Female,4,3,81.83,3
7768,Female,4,1,60.63,2.53
7769,Female,4,1,68.73,3.32
7770,Male,5,1,98.93,3.92
7771,Female,4,4,89.63,3.63
7772,Male,4,4,59,2.34
7773,Female,4,3,92.54,3.74
7774,Female,4,3,78.72,3.55
7775,Female,4,3,69.27,3.52
7776,Female,4,4,85.18,3.52
7777,Male,4,1,94.72,3.52
7778,Female,4,4,78,3.4
7779,Male,5,1,98.63,3.94
7780,Female,4,2,72.18,3.78
7781,Male,5,3,94.36,2.71
7782,Male,4,3,73.9,2.3
7783,Female,4,3,83.83,2.22
7784,Male,4,1,96.64,3.87
7785,Female,4,2,89.86,3.95
7786,Male,4,1,76.81,3.13
7787,Female,4,4,93.89,3.48
7788,Male,4,3,94.18,3.68
7789,Male,5,2,96.36,2.58
7790,Male,4,4,89.82,3.44
7791,Female,4,1,87.63,3.63
7792,Male,4,1,83.33,3.62
7793,Female,4,2,91.45,3.97
7794,Male,5,2,89.27,2.77
7795,Male,4,2,81,3.49
7796,Male,4,1,78.45,3.86
7797,Female,4,1,77.7,3.25
7798,Male,4,4,88.9,3.55
7799,Male,4,1,77.1,2.26
7800,Female,4,1,89,3.58
7801,Female,4,1,80.72,3.61
7802,Female,4,1,85,3.43
7803,Female,4,4,87.9,3.35
7804,Female,5,1,94.9,3.8
7805,Female,4,1,70.63,1.58
7806,Female,4,4,81,3.97
7807,Male,4,3,88.18,3.3
7808,Male,4,2,84,2.3
7809,Female,4,3,78.9,4
7810,Male,4,2,94,3.43
7811,Male,4,4,60.3,3.19
7812,Female,4,1,89.5,2.8
7813,Female,4,2,75,3.48
7814,Female,4,2,95.27,3.68
7815,Female,4,3,91.45,3.53
7816,Female,4,1,75.18,3.07
7817,Female,4,2,97.81,3.98
7818,Female,4,1,93.18,3.62
7819,Male,5,2,96.9,2.67
7820,Female,4,3,77.54,2.44
7821,Female,4,2,62.18,2.11
7822,Female,4,2,79.86,2.77
7823,Male,4,3,82.9,2.98
7824,Female,5,3,87,2.72
7825,Female,4,1,93.6,3.92
7826,Female,4,1,94.45,3.2
7827,Female,4,1,70.27,3.8
7828,Female,4,3,70.09,3.31
7829,Female,4,3,90,2.99
7830,Male,4,3,88.18,2.52
7831,Male,4,1,75.64,3.09
7832,Female,4,1,85.09,3.31
7833,Female,4,4,74.72,3.19
7834,Female,4,1,96.81,3.14
7835,Male,4,3,82.09,3.1
7836,Female,4,2,82.66,3.28
7837,Female,4,4,81,3.64
7838,Female,4,3,74.5,3.31
7839,Female,4,2,94.9,3.83
7840,Female,4,1,88.36,3.6
7841,Male,4,3,89.09,3.23
7842,Female,4,1,99,3.64
7843,Female,4,3,84,3.58
7844,Female,4,4,78,3.37
7845,Female,4,1,88.45,3.56
7846,Male,4,1,86.81,3.5
7847,Male,4,1,84.8,3.73
7848,Female,4,2,92.9,3.9
7849,Female,4,4,77,3.29
7850,Male,5,1,73.09,2.99
7851,Male,4,2,88.36,2.35
7852,Male,4,2,91.09,3.28
7853,Female,4,3,90.3,2.92
7854,Female,4,4,80.9,2.86
7855,Female,5,2,96,2.84
7856,Female,4,1,74,3.03
7857,Male,5,3,93.81,2.99
7858,Female,5,2,95.54,2.84
7859,Female,4,3,85.55,3.24
7860,Male,4,2,69.27,2.75
7861,Male,5,2,93.5,2.76
7862,Female,4,2,83,2.33
7863,Female,4,1,90,3.62
7864,Female,4,3,83.64,3.47
7865,Male,4,2,99.18,3.62
7866,Male,4,4,75.72,3.03
7867,Female,5,3,87.45,2.91
7868,Male,5,2,98.72,2.39
7869,Male,4,2,79.09,3.31
7870,Female,4,1,61.45,3.6
7871,Male,4,4,76.81,3.32
7872,Female,4,4,62.27,3.8
7873,Male,4,2,93.09,3.41
7874,Female,4,3,77.9,3.34
7875,Female,4,2,94.09,3.24
7876,Female,4,1,95.63,3.79
7877,Female,4,1,89.8,3.8
7878,Male,4,2,68.18,3.43
7879,Male,4,3,67,2.67
7880,Male,4,1,77.9,3.17
7881,Male,4,2,80.18,2.39
7882,Female,4,3,87.54,3.58
7883,Male,4,1,70.81,2.91
7884,Male,4,2,92.18,2.81
7885,Male,4,2,69.09,3.23
7886,Male,4,3,79.36,2.36
7887,Male,5,2,97.54,2.69
7888,Male,4,4,85.4,3.91
7889,Male,5,1,99.18,3.96
7890,Female,4,1,75.7,2.52
7891,Female,4,2,89.27,3.84
7892,Male,5,2,99.81,2.89
7893,Female,4,1,89.18,3.34
7894,Male,4,4,71.3,2.97
7895,Female,4,4,84.66,2.95
7896,Female,4,2,85.62,3.26
7897,Male,5,4,95.77,2.27
7898,Male,4,1,71.27,0.93
7899,Male,4,2,96,3.25
7900,Female,4,2,93.18,3.76
7901,Female,4,1,89.82,3.61
7902,Male,5,1,93.82,3.76
7903,Male,4,4,76.36,2.97
7904,Male,5,4,74.63,2.45
7905,Female,4,4,71,3.01
7906,Female,4,4,78.09,3.58
7907,Female,4,3,84.64,3.82
7908,Male,4,1,87,3.68
7909,Female,4,4,78,3.45
7910,Female,5,5,84.36,3.74
7911,Male,4,2,78.8,3.51
7912,Female,4,3,80.36,3.9
7913,Male,4,4,73.1,3.27
7914,Male,4,1,69.71,2.9
7915,Female,4,2,87.63,3.88
7916,Female,4,3,82.09,3.36
7917,Male,4,1,98.3,3.56
7918,Male,4,2,98.81,3.85
7919,Male,4,2,93,3.5
7920,Female,4,3,92.27,3.53
7921,Female,4,4,84.36,3.83
7922,Female,4,3,83.09,2.38
7923,Female,4,3,84.72,3.13
7924,Male,4,1,84.09,3.4
7925,Female,4,2,99,3.66
7926,Female,4,3,63.27,3.3
7927,Female,4,3,84.64,2.53
7928,Female,4,1,96,3.88
7929,Female,4,1,84.27,3.13
7930,Female,4,3,78.8,3.29
7931,Male,5,2,86.54,3.01
7932,Female,4,4,72.36,3.29
7933,Male,4,2,84.18,2.98
7934,Female,4,2,80.8,2.43
7935,Female,4,3,79.75,3.36
7936,Male,5,3,87.81,2.35
7937,Female,5,3,89,2.84
7938,Female,5,4,89.9,2.4
7939,Male,5,3,86.64,2.42
7940,Female,4,2,98,3.8
7941,Female,4,1,69.36,2.86
7942,Female,4,2,97.72,3.9
7943,Male,4,2,96,3.66
7944,Female,4,3,74,2.17
7945,Female,4,4,65,2.36
7946,Male,4,1,87.27,3.12
7947,Male,5,3,82.45,2.72
7948,Male,4,3,64.18,2.63
7949,Female,4,1,74,3.05
7950,Male,4,2,86,3.27
7951,Male,4,2,88.63,3.12
7952,Female,4,1,87.81,3.2
7953,Female,4,1,62.63,3.32
7954,Male,4,1,86.54,3.49
7955,Male,4,4,70.09,3.76
7956,Male,4,4,83.86,3.2
7957,Female,4,1,87.33,2.95
7958,Male,4,2,86.37,3.25
7959,Female,4,3,85.9,3.28
7960,Female,4,3,94.8,3.45
7961,Male,4,2,56.27,2.48
7962,Male,4,1,92.54,2.39
7963,Female,4,4,72,3.2
7964,Female,4,1,88.82,3.6
7965,Female,4,3,93,3.87
7966,Female,4,4,89.79,3.88
7967,Male,4,1,93,4
7968,Male,4,4,65.54,3.62
7969,Female,4,1,83.9,3.59
7970,Male,4,2,89.36,3.38
7971,Female,4,1,76.36,3.12
7972,Male,4,4,86.09,3.29
7973,Female,4,1,95.9,3.31
7974,Female,4,3,75.9,2.41
7975,Female,4,2,92.8,3.88
7976,Male,4,2,89.18,2.77
7977,Female,4,3,80,3.43
7978,Male,4,4,70.09,3.1
7979,Female,4,2,83.82,3.73
7980,Female,4,3,93.6,3.68
7981,Female,4,3,95.36,3.87
7982,Male,4,2,84.45,3.17
7983,Male,4,1,82.9,3.36
7984,Male,4,3,86.89,2.84
7985,Male,4,4,86,3.57
7986,Male,4,2,71.75,3.45
7987,Female,4,4,71.45,3.47
7988,Male,4,1,75.48,3.08
7989,Male,4,1,60.7,2.54
7990,Male,4,3,70.16,3.78
7991,Male,4,3,82,3.44
7992,Female,4,1,97.63,3.9
7993,Male,4,2,88.8,3.25
7994,Male,4,3,76.45,3.1
7995,Female,4,2,86,2.39
7996,Male,4,2,87.09,3.19
7997,Male,4,1,53.45,2.27
7998,Female,4,2,97.27,3.27
7999,Female,4,2,98.72,2.8
8000,Male,4,4,85,3.82
8001,Female,4,2,68,3.42
8002,Male,4,2,49.5,3.03
8003,Female,4,1,57.9,2.68
8004,Female,4,4,80.5,3.92
8005,Female,4,1,86.18,3.94
8006,Female,4,3,80.64,3.44
8007,Male,4,2,81.76,3.04
8008,Female,4,1,77,3.14
8009,Male,4,3,91.73,3.48
8010,Male,4,3,87.8,3.56
8011,Male,4,3,88.18,3.34
8012,Female,4,2,79,3.63
8013,Male,4,4,87.36,3.46
8014,Male,4,2,85.36,3.27
8015,Male,4,2,86.72,3.11
8016,Female,4,1,84.92,2.72
8017,Female,4,2,81.9,3.04
8018,Female,4,3,89.36,3.77
8019,Male,4,3,84,2.9
8020,Male,4,4,78.5,2.95
8021,Female,4,2,83.54,3.33
8022,Female,4,2,70,2.44
8023,Male,4,2,95.9,2.39
8024,Female,4,4,83.9,3.86
8025,Male,4,3,91.36,1.92
8026,Male,4,1,87.54,3.53
8027,Male,4,4,88.45,3.06
8028,Female,4,1,95.09,3.86
8029,Male,5,2,94.7,2.85
8030,Female,4,4,88.7,3.7
8031,Male,5,3,90.54,2.51
8032,Male,4,1,75.46,3.08
8033,Male,4,1,86.85,2.52
8034,Female,4,4,91.64,3.78
8035,Male,4,2,81.36,3.37
8036,Male,4,2,84,2.22
8037,Male,4,4,62.81,3.1
8038,Male,4,1,83.5,3.38
8039,Male,4,3,70.56,3.43
8040,Female,4,4,83.54,3.6
8041,Male,4,1,96.45,3
8042,Female,5,1,95.9,3.84
8043,Male,4,1,88,3.42
8044,Female,4,2,76,3.63
8045,Female,4,4,71,3.5
8046,Female,4,2,99.18,3.75
8047,Female,4,1,99.63,3.8
8048,Male,4,1,82,3.29
8049,Female,4,4,87.6,3.57
8050,Female,4,2,90.9,3.28
8051,Male,4,1,66.45,2.75
8052,Female,4,1,93.36,3.64
8053,Female,4,3,75,3.16
8054,Male,4,1,78.63,1.75
8055,Female,4,4,80.72,3.31
8056,Male,4,3,91.54,3.36
8057,Female,5,2,99.45,2.95
8058,Male,5,1,90.55,3.64
8059,Female,4,1,82.45,3.34
8060,Female,4,3,88,3.33
8061,Female,4,2,61.6,2.53
8062,Male,4,1,78.36,3.19
8063,Female,4,1,87.18,3.39
8064,Male,4,2,75.63,2.81
8065,Male,4,3,83,2.8
8066,Female,5,1,99.63,3.98
8067,Male,5,1,90.73,3.65
8068,Female,5,1,90.72,3.65
8069,Female,4,1,93.8,3.76
8070,Male,4,3,68.18,2.1
8071,Male,5,1,93,3.73
8072,Male,4,4,78.9,3.67
8073,Female,4,2,87.81,3.54
8074,Female,4,2,81.9,2.84
8075,Female,4,2,96.73,3.81
8076,Female,4,1,97.64,3.9
8077,Male,4,2,86,3.35
8078,Female,4,3,89.27,3.6
8079,Female,4,1,99.18,3.96
8080,Female,5,1,99.94,3.95
8081,Male,4,3,93.9,3.38
8082,Male,4,1,97.54,3.9
8083,Female,4,2,92.45,3.64
8084,Male,4,3,89.36,3.64
8085,Male,4,3,89.06,2.54
8086,Male,4,2,93.83,3.25
8087,Female,4,3,93.6,3.31
8088,Female,4,1,67.18,3.7
8089,Male,4,1,77.9,3.17
8090,Female,4,4,80.72,3.19
8091,Male,4,2,84.3,3.41
8092,Female,4,3,86.5,3.45
8093,Female,4,3,86.72,3.25
8094,Male,4,1,92.09,3.5
8095,Female,4,2,97.8,3.6
8096,Female,4,1,90.75,3.65
8097,Male,4,1,82.91,3.36
8098,Male,4,1,69.18,2.85
8099,Male,4,2,62.18,3.46
8100,Female,4,1,86.68,2.88
8101,Male,5,2,83.09,2.68
8102,Female,4,3,93.27,3.74
8103,Female,4,1,93.9,3.73
8104,Female,4,3,70,3.62
8105,Male,4,2,88.5,2.66
8106,Female,4,2,91.9,3.95
8107,Female,4,3,74,2.96
8108,Male,4,3,83.82,3.57
8109,Male,4,3,80.69,3.26
8110,Male,4,1,89.5,3
8111,Female,4,4,80.72,3.1
8112,Male,4,4,80.18,3.17
8113,Female,4,1,86.72,2.31
8114,Female,4,1,73,3.83
8115,Female,4,2,98.27,3.7
8116,Male,4,2,93.93,3.64
8117,Male,5,1,90.18,3.63
8118,Male,4,3,67.36,2.19
8119,Male,5,1,97.36,3.89
8120,Male,4,1,72.9,2.43
8121,Male,4,1,98.64,3.94
8122,Female,4,2,77.63,3.57
8123,Female,4,2,89,3.32
8124,Male,4,3,83.33,3.16
8125,Male,4,1,50,3.13
8126,Male,4,3,74.36,3.35
8127,Female,4,3,85.18,3.82
8128,Male,4,1,57.64,2.42
8129,Male,4,3,92.5,3.6
8130,Female,5,1,74.09,3.03
8131,Male,4,1,68.63,2.83
8132,Female,4,1,77.77,3.15
8133,Male,5,2,97.64,2.83
8134,Male,4,3,78.72,3.25
8135,Male,4,2,89.27,2.7
8136,Female,4,1,80.72,3.22
8137,Female,4,2,93.6,3.72
8138,Female,4,1,93.77,3.94
8139,Female,4,1,94.63,3.81
8140,Female,4,4,77,2.99
8141,Male,4,1,62.27,3.44
8142,Female,4,2,98.09,3.91
8143,Male,4,1,61.55,3.02
8144,Male,4,3,76.9,3.49
8145,Female,4,4,76.81,3.56
8146,Female,4,4,82,3.58
8147,Male,4,2,85.9,3.35
8148,Male,4,3,67.82,3.78
8149,Male,4,4,78.02,2.27
8150,Female,4,2,87.81,3.86
8151,Female,4,1,81.9,2.9
8152,Male,4,4,73.9,3.5
8153,Male,4,1,77.8,3.48
8154,Male,4,2,97,2.66
8155,Male,4,2,96.5,3.6
8156,Female,4,1,67.6,3.54
8157,Female,4,1,98.72,3.94
8158,Female,5,3,86,2.58
8159,Male,4,3,68.9,3.61
8160,Male,4,1,77.27,3.15
8161,Female,4,1,90.86,4
8162,Male,4,2,92.9,3.43
8163,Female,4,2,75.6,2.96
8164,Male,4,4,84.45,3.48
8165,Female,4,2,88.9,3.46
8166,Male,4,2,77.37,3.4
8167,Male,4,2,93.81,3.14
8168,Female,4,1,80.36,3.26
8169,Female,5,2,92.81,3.06
8170,Male,5,1,87.82,3.54
8171,Female,4,1,75.36,3.08
8172,Female,5,2,85.45,3.61
8173,Female,4,2,53,3.68
8174,Female,4,2,82,3.15
8175,Female,4,2,83.45,3.65
8176,Male,4,1,82.9,3.24
8177,Female,4,1,64.27,2.98
8178,Female,4,3,88,3.89
8179,Male,4,1,78.89,3.58
8180,Male,4,3,84.63,3.49
8181,Female,4,2,89,3.34
8182,Female,4,1,48.9,2.81
8183,Male,5,3,92.09,2.78
8184,Female,4,1,86,2.85
8185,Female,5,1,98.54,1.7
8186,Male,4,3,76.64,3.43
8187,Female,4,4,83.5,3.28
8188,Female,4,4,80.54,3.8
8189,Female,4,1,92.4,3.86
8190,Female,4,1,73,3.72
8191,Male,4,1,67.89,2.4
8192,Female,4,4,72.55,2.87
8193,Male,4,3,91.65,3
8194,Female,4,3,90,3.32
8195,Male,4,4,84.27,2.23
8196,Male,4,2,78.9,3.65
8197,Male,4,2,84.9,3.11
8198,Female,4,1,80,3.33
8199,Female,4,2,91.92,3.7
8200,Female,4,1,94.91,3.8
8201,Male,4,3,85.64,2.46
8202,Female,4,3,75,3.27
8203,Female,5,1,99.27,3.96
8204,Female,4,2,82.82,2.98
8205,Female,4,1,95.18,3.23
8206,Male,5,4,80.36,2.32
8207,Male,4,1,91.09,3.11
8208,Male,5,2,97.96,2.57
8209,Male,4,2,74.9,2.48
8210,Female,4,2,92.72,3.27
8211,Male,4,1,55.6,2.53
8212,Male,4,3,74.5,3.22
8213,Male,5,1,63.91,2.65
8214,Male,4,2,65.63,2.98
8215,Female,4,4,86.68,3.02
8216,Female,4,4,85,3.48
8217,Female,4,4,70.8,3.24
8218,Female,4,1,89,3.56
8219,Male,4,3,82.36,2.65
8220,Male,4,3,84,3.12
8221,Male,4,1,86.18,3.43
8222,Female,4,1,94.54,2.9
8223,Male,4,2,71.09,3.52
8224,Female,4,3,86.6,3.69
8225,Male,4,2,99.45,3.79
8226,Female,4,2,92.7,3.76
8227,Female,4,2,97.36,3.83
8228,Male,5,1,97.36,3.89
8229,Male,4,4,80,2.41
8230,Female,4,1,93.72,3.94
8231,Male,4,2,89.63,2.73
8232,Male,5,1,94.25,3.78
8233,Male,4,2,88.73,3.6
8234,Female,4,4,84.09,2.9
8235,Female,5,4,87.09,2.67
8236,Female,4,2,77.72,3.5
8237,Female,4,2,85.6,3.04
8238,Male,4,3,91.09,3.5
8239,Female,4,4,77.45,3.41
8240,Male,4,4,67,2.73
8241,Female,4,4,71,2.93
8242,Female,4,2,84,2.8
8243,Male,4,4,76.66,3.31
8244,Male,4,2,91.8,2.63
8245,Male,4,2,69,2.99
8246,Male,4,2,82.8,3.65
8247,Male,5,1,89.09,3.59
8248,Male,4,2,89.18,3.16
8249,Male,4,4,63.63,2.67
8250,Female,4,4,78.91,3.43
8251,Male,4,2,95,3.32
8252,Male,4,3,91.09,2.93
8253,Male,4,2,49,2.47
8254,Female,4,2,96.7,3.57
8255,Male,4,2,85.36,2.59
8256,Female,5,1,93.3,3.63
8257,Female,4,2,80.8,2.75
8258,Female,4,2,99.63,3.97
8259,Female,4,3,76.18,3.57
8260,Male,4,2,83.09,3.11
8261,Male,4,3,85.18,3.83
8262,Male,4,2,85.72,3.94
8263,Male,5,4,89.6,2.32
8264,Male,4,1,61.63,2.57
8265,Male,5,4,69.27,2.47
8266,Male,5,5,84.72,3.49
8267,Male,4,1,63.54,2.82
8268,Female,4,4,75.18,2.58
8269,Male,5,4,88.8,2.17
8270,Male,5,3,84.1,2.34
8271,Male,4,4,80,3.02
8272,Male,4,3,77.54,3.24
8273,Male,4,2,98,3.57
8274,Female,4,3,61,3.12
8275,Male,4,3,85.9,2.96
8276,Female,4,2,94.18,3.53
8277,Male,4,1,98.81,3.95
8278,Female,4,2,80.81,3.25
8279,Male,5,3,87.09,2.52
8280,Male,4,4,84.45,2.93
8281,Female,4,2,88,3.75
8282,Female,4,1,93.36,3.51
8283,Female,4,3,88,3.3
8284,Male,4,4,89.82,2.43
8285,Male,4,2,82.18,3.31
8286,Male,4,3,61.72,3.02
8287,Male,4,1,70.36,2.89
8288,Male,4,1,90.63,3.4
8289,Male,4,1,72.82,2.98
8290,Female,4,3,78.67,2.6
8291,Male,4,4,84,3.24
8292,Female,4,2,98,3.34
8293,Male,4,2,77.09,3.25
8294,Male,4,3,68.81,3.22
8295,Male,4,3,65.54,3.5
8296,Male,4,1,83.09,3.54
8297,Male,4,3,76.18,2.8
8298,Female,4,2,62,3.41
8299,Female,4,3,85,3.71
8300,Female,4,1,82.9,3.36
8301,Female,4,1,92.09,3.7
8302,Female,4,2,95.36,3.51
8303,Male,4,1,72.64,2.98
8304,Male,4,1,80.91,3.28
8305,Female,4,2,93.45,3.89
8306,Male,4,2,86.25,3.33
8307,Male,4,2,70,3.71
8308,Female,4,2,75.59,2.64
8309,Male,4,2,78.85,2.33
8310,Female,5,3,93,2.82
8311,Male,4,3,82.54,3.94
8312,Male,4,3,60.58,1.91
8313,Female,4,3,94.36,3.25
8314,Male,4,2,89.99,3
8315,Female,4,1,78.64,3.69
8316,Male,4,3,55.18,3.1
8317,Male,4,2,79.77,3.34
8318,Female,4,1,89.55,3.94
8319,Male,5,3,84.27,2.52
8320,Female,4,4,89.83,3.08
8321,Male,4,3,69.9,2.55
8322,Male,4,2,59.18,2.66
8323,Male,5,2,87.09,2.8
8324,Female,4,1,66.45,3.27
8325,Male,5,2,93.54,2.79
8326,Female,4,2,95,3.84
8327,Male,4,1,70.86,2.91
8328,Male,4,1,74.54,3.6
8329,Female,4,4,84.18,3.35
8330,Male,4,1,78.01,3.31
8331,Female,4,1,99.45,3.97
8332,Female,4,1,63.82,3.14
8333,Female,4,2,93.45,3.19
8334,Female,4,1,92.63,3.71
8335,Female,4,2,64.6,2.54
8336,Female,4,1,98.27,3.94
8337,Male,4,4,87,3.34
8338,Female,4,1,85.79,3.66
8339,Male,4,4,81.13,2.96
8340,Female,4,2,98,3.87
8341,Female,4,1,94.9,3.8
8342,Male,5,4,71.03,2.47
8343,Female,5,1,90,3.62
8344,Male,5,3,82.72,2.57
8345,Female,4,3,81.1,3.4
8346,Male,4,4,61.36,3.07
8347,Female,4,1,98.55,3.84
8348,Female,4,2,77.8,2.34
8349,Female,4,2,89.81,3.25
8350,Female,4,4,69.54,3.68
8351,Female,4,2,73.9,3.2
8352,Male,4,1,71.45,2.93
8353,Female,4,4,65.8,3.23
8354,Male,4,4,42.45,2.68
8355,Male,5,2,86.2,2.62
8356,Male,4,4,84,3.22
8357,Female,4,4,68.6,3.54
8358,Female,4,4,55,3.85
8359,Female,4,1,83.77,3.69
8360,Male,4,4,87,2.67
8361,Male,4,2,94.63,3.06
8362,Male,4,1,61.09,2.55
8363,Female,4,2,64.63,3.69
8364,Female,4,2,92.54,3.13
8365,Male,4,2,81,2.89
8366,Female,4,3,80.18,2.49
8367,Female,4,1,75,2.99
8368,Male,4,2,63.36,2.75
8369,Male,4,3,77,3.01
8370,Female,4,3,87,2.1
8371,Male,5,5,90.54,3.5
8372,Male,4,2,76.68,2.55
8373,Female,4,3,92.36,3.74
8374,Female,4,1,76.18,3.46
8375,Female,4,4,81,3.49
8376,Female,4,3,83.09,3.73
8377,Female,4,3,79.45,3.54
8378,Male,4,2,89.9,3.26
8379,Female,4,1,66.18,2.34
8380,Male,4,4,90.81,2.97
8381,Female,5,3,92.72,2.7
