ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
340,Male,4,1,82.54,3.13
341,Female,4,2,83,2.69
342,Female,4,2,61.09,3.91
343,Male,4,2,53,3.06
344,Female,4,2,88.9,2.52
345,Male,4,1,84,2.12
346,Female,4,3,75.45,3.84
347,Female,4,3,84.64,3.25
348,Male,4,1,86.5,3.06
349,Male,4,2,78.84,2.94
350,Female,5,3,64,2.51
351,Male,4,4,66.18,3.09
352,Female,4,1,98.81,3.7
353,Female,4,2,96.36,3.78
354,Male,4,2,86.93,2.7
355,Male,4,1,79.17,3.22
356,Male,4,1,71,2.94
357,Male,5,3,97.94,2.77
358,Female,5,3,95.81,2.75
359,Male,4,4,67.09,2.56
360,Male,4,1,80,3.62
361,Male,4,4,69.81,2.91
362,Male,4,2,81.87,2.92
363,Male,5,2,99.27,2.78
364,Female,4,4,86.27,3.48
365,Male,4,1,96.9,3.88
366,Male,5,1,92,3.69
367,Female,4,2,95.9,3.97
368,Male,4,2,99.2,3.97
369,Female,4,3,90.73,3.46
370,Female,4,3,63.7,3.38
371,Female,5,3,87.86,2.66
372,Male,4,1,80,2.39
373,Male,5,3,84.64,2.48
374,Male,4,2,86,2.05
375,Male,5,5,90.45,3.62
376,Male,4,1,88.72,3.22
377,Female,4,4,85.54,3.72
378,Male,4,1,92.09,2.69
379,Female,4,4,82.36,3.68
380,Male,4,1,80.63,3.2
381,Male,4,4,60,2.13
382,Female,4,1,95,3.8
383,Male,4,1,79.09,3.22
384,Female,4,2,87.72,3.53
385,Female,5,1,98.54,3.94
386,Female,4,3,78.72,2.9
387,Male,4,3,89.45,3.82
388,Female,4,1,89,3.73
389,Female,4,2,99.09,3.61
390,Male,4,3,81.81,3.53
391,Male,5,2,94.09,2.51
392,Male,4,3,91.36,2.9
393,Male,4,2,66.66,2.91
394,Female,4,3,60.45,3.35
395,Female,4,4,86.54,2.83
396,Male,4,2,88.72,2.93
397,Male,5,2,98.28,1.61
398,Female,4,1,57.45,2.54
399,Male,4,1,78.6,2.73
400,Female,4,2,65,2.23
401,Female,4,2,51,3.39
402,Female,4,1,69,3.34
403,Female,4,4,79,3.66
404,Male,4,1,98,3.92
405,Male,4,4,70.7,2.12
406,Female,4,4,89.6,3.69
407,Female,4,1,86.9,3.49
408,Female,4,2,84.09,3.5
409,Female,4,2,99,3.2
410,Female,4,3,89.27,3.53
411,Male,4,2,71.63,3.1
412,Female,4,3,81.5,3.67
413,Male,4,2,97.89,3.35
414,Female,4,1,73,2.99
415,Female,4,1,91.72,3.52
416,Female,4,2,98.72,3.58
417,Female,5,2,88,2.58
418,Female,4,1,97.36,3.89
419,Male,5,2,93.81,2.65
420,Female,4,3,84.36,3.17
421,Male,4,2,95.63,3.14
422,Female,4,4,71,3.19
423,Female,4,2,74.3,3.93
424,Female,4,3,84.27,3.59
425,Female,4,2,93.86,3.92
426,Male,4,3,87,3.35
427,Male,4,1,81.18,3.13
428,Male,4,3,85.55,2.92
429,Female,4,1,96.81,3.79
430,Male,4,2,76.36,3.22
431,Male,4,4,93.09,3.5
432,Male,4,2,96.73,3.38
433,Male,4,3,62.62,3.17
434,Male,4,1,73.63,2.8
435,Female,4,1,95.54,3.84
436,Male,5,2,86.45,2.58
437,Male,5,2,93.9,2.77
438,Female,4,3,92.81,3.12
439,Female,4,1,93.36,3.74
440,Male,4,1,82,3.32
441,Female,4,2,82.6,3.22
442,Male,4,1,77.45,3.16
443,Male,5,2,73,2.78
444,Male,4,2,89,3.12
445,Female,4,2,87,3.2
446,Male,4,2,58.81,3.23
447,Male,4,1,70.8,2.87
448,Female,4,2,92.27,3.82
449,Male,4,2,82.18,3.97
450,Female,4,2,80,3.23
451,Male,4,2,89.63,3.28
452,Male,4,3,65.81,3.44
453,Female,4,2,97.54,3.97
454,Male,4,1,87.45,3.58
455,Female,4,1,85.63,3.46
456,Female,5,2,95.27,3.28
457,Male,4,1,87.2,3.52
458,Male,5,4,75.95,2.35
459,Female,4,2,88,3.45
460,Female,4,1,98.63,3.94
461,Male,4,2,89.85,2.1
462,Male,4,4,75,2.98
463,Female,4,2,99.18,3.86
464,Female,4,2,78.83,2.8
465,Female,4,2,96.99,2.41
